a b c | 1.1 2.1 3.1 d
a d e | 1.2 2.1 3.2 b
a d e | 1.3 2.1 3.1 b
a d e | 1.3 2.1 3.2 b
a d e | 1.1 2.2 3.1 b
a d e | 1.1 2.2 3.2 b
a d e | 1.2 2.2 3.1 b
a d e | 1.2 2.2 3.2 b
a d e | 1.3 2.2 3.1 b
a d e | 1.3 2.2 3.2 b
a d e | 1.1 2.1 3.1 c
a d e | 1.1 2.1 3.2 c
a d e | 1.2 2.1 3.1 c
a d e | 1.2 2.1 3.2 c
a d e | 1.3 2.1 3.1 c
a d e | 1.3 2.1 3.2 c
a d e | 1.1 2.2 3.1 c
a d e | 1.1 2.2 3.2 c
a d e | 1.2 2.2 3.1 c
a d e | 1.2 2.2 3.2 c
a d e | 1.3 2.2 3.1 c
a d e | 1.3 2.2 3.2 c
a e b | 1.1 2.1 3.1 c
a e b | 1.1 2.1 3.2 c
a e b | 1.2 2.1 3.1 c
a e b | 1.2 2.1 3.2 c
a e b | 1.3 2.1 3.1 c
a e b | 1.3 2.1 3.2 c
a e b | 1.1 2.2 3.1 c
a e b | 1.1 2.2 3.2 c
a e b | 1.2 2.2 3.1 c
a e b | 1.2 2.2 3.2 c
a e b | 1.3 2.2 3.1 c
a e b | 1.3 2.2 3.2 c
a e b | 1.1 2.1 3.1 d
a e b | 1.1 2.1 3.2 d
a e b | 1.2 2.1 3.1 d
a e b | 1.2 2.1 3.2 d
a e b | 1.3 2.1 3.1 d
a e b | 1.3 2.1 3.2 d
a e b | 1.1 2.2 3.1 d
a e b | 1.1 2.2 3.2 d
a e b | 1.2 2.2 3.1 d
a e b | 1.2 2.2 3.2 d
a e b | 1.3 2.2 3.1 d
a e b | 1.3 2.2 3.2 d
a e c | 1.1 2.1 3.1 b
a e c | 1.1 2.1 3.2 b
a e c | 1.2 2.1 3.1 b
a e c | 1.2 2.1 3.2 b
a e c | 1.3 2.1 3.1 b
a e c | 1.3 2.1 3.2 b
a e c | 1.1 2.2 3.1 b
a e c | 1.1 2.2 3.2 b
a e c | 1.2 2.2 3.1 b
a e c | 1.2 2.2 3.2 b
a e c | 1.3 2.2 3.1 b
a e c | 1.3 2.2 3.2 b
a e c | 1.1 2.1 3.1 d
a e c | 1.1 2.1 3.2 d
a e c | 1.2 2.1 3.1 d
a e c | 1.2 2.1 3.2 d
a e c | 1.3 2.1 3.1 d
a e c | 1.3 2.1 3.2 d
a e c | 1.1 2.2 3.1 d
a e c | 1.1 2.2 3.2 d
a e c | 1.2 2.2 3.1 d
a e c | 1.2 2.2 3.2 d
a e c | 1.3 2.2 3.1 d
a e c | 1.3 2.2 3.2 d
a e d | 1.1 2.1 3.1 b
a e d | 1.1 2.1 3.2 b
a e d | 1.2 2.1 3.1 b
a e d | 1.2 2.1 3.2 b
a e d | 1.3 2.1 3.1 b
a e d | 1.3 2.1 3.2 b
a e d | 1.1 2.2 3.1 b
a e d | 1.1 2.2 3.2 b
a e d | 1.2 2.2 3.1 b
a e d | 1.2 2.2 3.2 b
a e d | 1.3 2.2 3.1 b
a e d | 1.3 2.2 3.2 b
a e d | 1.1 2.1 3.1 c
a e d | 1.1 2.1 3.2 c
a e d | 1.2 2.1 3.1 c
a e d | 1.2 2.1 3.2 c
a e d | 1.3 2.1 3.1 c
a e d | 1.3 2.1 3.2 c
a e d | 1.1 2.2 3.1 c
a e d | 1.1 2.2 3.2 c
a e d | 1.2 2.2 3.1 c
a e d | 1.2 2.2 3.2 c
a e d | 1.3 2.2 3.1 c
a e d | 1.3 2.2 3.2 c
b a c | 1.1 2.1 3.1 d
b a c | 1.1 2.1 3.2 d
b a c | 1.2 2.1 3.1 d
b a c | 1.2 2.1 3.2 d
b a c | 1.3 2.1 3.1 d
b a c | 1.3 2.1 3.2 d
b a c | 1.1 2.2 3.1 d
b a c | 1.1 2.2 3.2 d
b a c | 1.2 2.2 3.1 d
b a c | 1.2 2.2 3.2 d
b a c | 1.3 2.2 3.1 d
b a c | 1.3 2.2 3.2 d
b a c | 1.1 2.1 3.1 e
b a c | 1.1 2.1 3.2 e
b a c | 1.2 2.1 3.1 e
b a c | 1.2 2.1 3.2 e
b a c | 1.3 2.1 3.1 e
b a c | 1.3 2.1 3.2 e
b a c | 1.1 2.2 3.1 e
b a c | 1.1 2.2 3.2 e
b a c | 1.2 2.2 3.1 e
b a c | 1.2 2.2 3.2 e
b a c | 1.3 2.2 3.1 e
b a c | 1.3 2.2 3.2 e
b a d | 1.1 2.1 3.1 c
b a d | 1.1 2.1 3.2 c
b a d | 1.2 2.1 3.1 c
b a d | 1.2 2.1 3.2 c
b a d | 1.3 2.1 3.1 c
b a d | 1.3 2.1 3.2 c
b a d | 1.1 2.2 3.1 c
b a d | 1.1 2.2 3.2 c
b a d | 1.2 2.2 3.1 c
b a d | 1.2 2.2 3.2 c
b a d | 1.3 2.2 3.1 c
b a d | 1.3 2.2 3.2 c
b a d | 1.1 2.1 3.1 e
b a d | 1.1 2.1 3.2 e
b a d | 1.2 2.1 3.1 e
b a d | 1.2 2.1 3.2 e
b a d | 1.3 2.1 3.1 e
b a d | 1.3 2.1 3.2 e
b a d | 1.1 2.2 3.1 e
b a d | 1.1 2.2 3.2 e
b a d | 1.2 2.2 3.1 e
b a d | 1.2 2.2 3.2 e
b a d | 1.3 2.2 3.1 e
b a d | 1.3 2.2 3.2 e
b a e | 1.1 2.1 3.1 c
b a e | 1.1 2.1 3.2 c
b a e | 1.2 2.1 3.1 c
b a e | 1.2 2.1 3.2 c
b a e | 1.3 2.1 3.1 c
b a e | 1.3 2.1 3.2 c
b a e | 1.1 2.2 3.1 c
b a e | 1.1 2.2 3.2 c
b a e | 1.2 2.2 3.1 c
b a e | 1.2 2.2 3.2 c
b a e | 1.3 2.2 3.1 c
b a e | 1.3 2.2 3.2 c
b a e | 1.1 2.1 3.1 d
b a e | 1.1 2.1 3.2 d
b a e | 1.2 2.1 3.1 d
b a e | 1.2 2.1 3.2 d
b a e | 1.3 2.1 3.1 d
b a e | 1.3 2.1 3.2 d
b a e | 1.1 2.2 3.1 d
b a e | 1.1 2.2 3.2 d
b a e | 1.2 2.2 3.1 d
b a e | 1.2 2.2 3.2 d
b a e | 1.3 2.2 3.1 d
b a e | 1.3 2.2 3.2 d
b c a | 1.1 2.1 3.1 d
b c a | 1.1 2.1 3.2 d
b c a | 1.2 2.1 3.1 d
b c a | 1.2 2.1 3.2 d
b c a | 1.3 2.1 3.1 d
b c a | 1.3 2.1 3.2 d
b c a | 1.1 2.2 3.1 d
b c a | 1.1 2.2 3.2 d
b c a | 1.2 2.2 3.1 d
b c a | 1.2 2.2 3.2 d
b c a | 1.3 2.2 3.1 d
b c a | 1.3 2.2 3.2 d
b c a | 1.1 2.1 3.1 e
b c a | 1.1 2.1 3.2 e
b c a | 1.2 2.1 3.1 e
b c a | 1.2 2.1 3.2 e
b c a | 1.3 2.1 3.1 e
b c a | 1.3 2.1 3.2 e
b c a | 1.1 2.2 3.1 e
b c a | 1.1 2.2 3.2 e
b c a | 1.2 2.2 3.1 e
b c a | 1.2 2.2 3.2 e
b c a | 1.3 2.2 3.1 e
b c a | 1.3 2.2 3.2 e
b c d | 1.1 2.1 3.1 a
b c d | 1.1 2.1 3.2 a
b c d | 1.2 2.1 3.1 a
b c d | 1.2 2.1 3.2 a
b c d | 1.3 2.1 3.1 a
b c d | 1.3 2.1 3.2 a
b c d | 1.1 2.2 3.1 a
b c d | 1.1 2.2 3.2 a
b c d | 1.2 2.2 3.1 a
b c d | 1.2 2.2 3.2 a
b c d | 1.3 2.2 3.1 a
b c d | 1.3 2.2 3.2 a
b c d | 1.1 2.1 3.1 e
b c d | 1.1 2.1 3.2 e
b c d | 1.2 2.1 3.1 e
b c d | 1.2 2.1 3.2 e
b c d | 1.3 2.1 3.1 e
b c d | 1.3 2.1 3.2 e
b c d | 1.1 2.2 3.1 e
b c d | 1.1 2.2 3.2 e
b c d | 1.2 2.2 3.1 e
b c d | 1.2 2.2 3.2 e
b c d | 1.3 2.2 3.1 e
b c d | 1.3 2.2 3.2 e
b c e | 1.1 2.1 3.1 a
b c e | 1.1 2.1 3.2 a
b c e | 1.2 2.1 3.1 a
b c e | 1.2 2.1 3.2 a
b c e | 1.3 2.1 3.1 a
b c e | 1.3 2.1 3.2 a
b c e | 1.1 2.2 3.1 a
b c e | 1.1 2.2 3.2 a
b c e | 1.2 2.2 3.1 a
b c e | 1.2 2.2 3.2 a
b c e | 1.3 2.2 3.1 a
b c e | 1.3 2.2 3.2 a
b c e | 1.1 2.1 3.1 d
b c e | 1.1 2.1 3.2 d
b c e | 1.2 2.1 3.1 d
b c e | 1.2 2.1 3.2 d
b c e | 1.3 2.1 3.1 d
b c e | 1.3 2.1 3.2 d
b c e | 1.1 2.2 3.1 d
b c e | 1.1 2.2 3.2 d
b c e | 1.2 2.2 3.1 d
b c e | 1.2 2.2 3.2 d
b c e | 1.3 2.2 3.1 d
b c e | 1.3 2.2 3.2 d
b d a | 1.1 2.1 3.1 c
b d a | 1.1 2.1 3.2 c
b d a | 1.2 2.1 3.1 c
b d a | 1.2 2.1 3.2 c
b d a | 1.3 2.1 3.1 c
b d a | 1.3 2.1 3.2 c
b d a | 1.1 2.2 3.1 c
b d a | 1.1 2.2 3.2 c
b d a | 1.2 2.2 3.1 c
b d a | 1.2 2.2 3.2 c
b d a | 1.3 2.2 3.1 c
b d a | 1.3 2.2 3.2 c
b d a | 1.1 2.1 3.1 e
b d a | 1.1 2.1 3.2 e
b d a | 1.2 2.1 3.1 e
b d a | 1.2 2.1 3.2 e
b d a | 1.3 2.1 3.1 e
b d a | 1.3 2.1 3.2 e
b d a | 1.1 2.2 3.1 e
b d a | 1.1 2.2 3.2 e
b d a | 1.2 2.2 3.1 e
b d a | 1.2 2.2 3.2 e
b d a | 1.3 2.2 3.1 e
b d a | 1.3 2.2 3.2 e
b d c | 1.1 2.1 3.1 a
b d c | 1.1 2.1 3.2 a
b d c | 1.2 2.1 3.1 a
b d c | 1.2 2.1 3.2 a
b d c | 1.3 2.1 3.1 a
b d c | 1.3 2.1 3.2 a
b d c | 1.1 2.2 3.1 a
b d c | 1.1 2.2 3.2 a
b d c | 1.2 2.2 3.1 a
b d c | 1.2 2.2 3.2 a
b d c | 1.3 2.2 3.1 a
b d c | 1.3 2.2 3.2 a
b d c | 1.1 2.1 3.1 e
b d c | 1.1 2.1 3.2 e
b d c | 1.2 2.1 3.1 e
b d c | 1.2 2.1 3.2 e
b d c | 1.3 2.1 3.1 e
b d c | 1.3 2.1 3.2 e
b d c | 1.1 2.2 3.1 e
b d c | 1.1 2.2 3.2 e
b d c | 1.2 2.2 3.1 e
b d c | 1.2 2.2 3.2 e
b d c | 1.3 2.2 3.1 e
b d c | 1.3 2.2 3.2 e
b d e | 1.1 2.1 3.1 a
b d e | 1.1 2.1 3.2 a
b d e | 1.2 2.1 3.1 a
b d e | 1.2 2.1 3.2 a
b d e | 1.3 2.1 3.1 a
b d e | 1.3 2.1 3.2 a
b d e | 1.1 2.2 3.1 a
b d e | 1.1 2.2 3.2 a
b d e | 1.2 2.2 3.1 a
b d e | 1.2 2.2 3.2 a
b d e | 1.3 2.2 3.1 a
b d e | 1.3 2.2 3.2 a
b d e | 1.1 2.1 3.1 c
b d e | 1.1 2.1 3.2 c
b d e | 1.2 2.1 3.1 c
b d e | 1.2 2.1 3.2 c
b d e | 1.3 2.1 3.1 c
b d e | 1.3 2.1 3.2 c
b d e | 1.1 2.2 3.1 c
b d e | 1.1 2.2 3.2 c
b d e | 1.2 2.2 3.1 c
b d e | 1.2 2.2 3.2 c
b d e | 1.3 2.2 3.1 c
b d e | 1.3 2.2 3.2 c
b e a | 1.1 2.1 3.1 c
b e a | 1.1 2.1 3.2 c
b e a | 1.2 2.1 3.1 c
b e a | 1.2 2.1 3.2 c
b e a | 1.3 2.1 3.1 c
b e a | 1.3 2.1 3.2 c
b e a | 1.1 2.2 3.1 c
b e a | 1.1 2.2 3.2 c
b e a | 1.2 2.2 3.1 c
b e a | 1.2 2.2 3.2 c
b e a | 1.3 2.2 3.1 c
b e a | 1.3 2.2 3.2 c
b e a | 1.1 2.1 3.1 d
b e a | 1.1 2.1 3.2 d
b e a | 1.2 2.1 3.1 d
b e a | 1.2 2.1 3.2 d
b e a | 1.3 2.1 3.1 d
b e a | 1.3 2.1 3.2 d
b e a | 1.1 2.2 3.1 d
b e a | 1.1 2.2 3.2 d
b e a | 1.2 2.2 3.1 d
b e a | 1.2 2.2 3.2 d
b e a | 1.3 2.2 3.1 d
b e a | 1.3 2.2 3.2 d
b e c | 1.1 2.1 3.1 a
b e c | 1.1 2.1 3.2 a
b e c | 1.2 2.1 3.1 a
b e c | 1.2 2.1 3.2 a
b e c | 1.3 2.1 3.1 a
b e c | 1.3 2.1 3.2 a
b e c | 1.1 2.2 3.1 a
b e c | 1.1 2.2 3.2 a
b e c | 1.2 2.2 3.1 a
b e c | 1.2 2.2 3.2 a
b e c | 1.3 2.2 3.1 a
b e c | 1.3 2.2 3.2 a
b e c | 1.1 2.1 3.1 d
b e c | 1.1 2.1 3.2 d
b e c | 1.2 2.1 3.1 d
b e c | 1.2 2.1 3.2 d
b e c | 1.3 2.1 3.1 d
b e c | 1.3 2.1 3.2 d
b e c | 1.1 2.2 3.1 d
b e c | 1.1 2.2 3.2 d
b e c | 1.2 2.2 3.1 d
b e c | 1.2 2.2 3.2 d
b e c | 1.3 2.2 3.1 d
b e c | 1.3 2.2 3.2 d
b e d | 1.1 2.1 3.1 a
b e d | 1.1 2.1 3.2 a
b e d | 1.2 2.1 3.1 a
b e d | 1.2 2.1 3.2 a
b e d | 1.3 2.1 3.1 a
b e d | 1.3 2.1 3.2 a
b e d | 1.1 2.2 3.1 a
b e d | 1.1 2.2 3.2 a
b e d | 1.2 2.2 3.1 a
b e d | 1.2 2.2 3.2 a
b e d | 1.3 2.2 3.1 a
b e d | 1.3 2.2 3.2 a
b e d | 1.1 2.1 3.1 c
b e d | 1.1 2.1 3.2 c
b e d | 1.2 2.1 3.1 c
b e d | 1.2 2.1 3.2 c
b e d | 1.3 2.1 3.1 c
b e d | 1.3 2.1 3.2 c
b e d | 1.1 2.2 3.1 c
b e d | 1.1 2.2 3.2 c
b e d | 1.2 2.2 3.1 c
b e d | 1.2 2.2 3.2 c
b e d | 1.3 2.2 3.1 c
b e d | 1.3 2.2 3.2 c
c a b | 1.1 2.1 3.1 d
c a b | 1.1 2.1 3.2 d
c a b | 1.2 2.1 3.1 d
c a b | 1.2 2.1 3.2 d
c a b | 1.3 2.1 3.1 d
c a b | 1.3 2.1 3.2 d
c a b | 1.1 2.2 3.1 d
c a b | 1.1 2.2 3.2 d
c a b | 1.2 2.2 3.1 d
c a b | 1.2 2.2 3.2 d
c a b | 1.3 2.2 3.1 d
c a b | 1.3 2.2 3.2 d
c a b | 1.1 2.1 3.1 e
c a b | 1.1 2.1 3.2 e
c a b | 1.2 2.1 3.1 e
c a b | 1.2 2.1 3.2 e
c a b | 1.3 2.1 3.1 e
c a b | 1.3 2.1 3.2 e
c a b | 1.1 2.2 3.1 e
c a b | 1.1 2.2 3.2 e
c a b | 1.2 2.2 3.1 e
c a b | 1.2 2.2 3.2 e
c a b | 1.3 2.2 3.1 e
c a b | 1.3 2.2 3.2 e
c a d | 1.1 2.1 3.1 b
c a d | 1.1 2.1 3.2 b
c a d | 1.2 2.1 3.1 b
c a d | 1.2 2.1 3.2 b
c a d | 1.3 2.1 3.1 b
c a d | 1.3 2.1 3.2 b
c a d | 1.1 2.2 3.1 b
c a d | 1.1 2.2 3.2 b
c a d | 1.2 2.2 3.1 b
c a d | 1.2 2.2 3.2 b
c a d | 1.3 2.2 3.1 b
c a d | 1.3 2.2 3.2 b
c a d | 1.1 2.1 3.1 e
c a d | 1.1 2.1 3.2 e
c a d | 1.2 2.1 3.1 e
c a d | 1.2 2.1 3.2 e
c a d | 1.3 2.1 3.1 e
c a d | 1.3 2.1 3.2 e
c a d | 1.1 2.2 3.1 e
c a d | 1.1 2.2 3.2 e
c a d | 1.2 2.2 3.1 e
c a d | 1.2 2.2 3.2 e
c a d | 1.3 2.2 3.1 e
c a d | 1.3 2.2 3.2 e
c a e | 1.1 2.1 3.1 b
c a e | 1.1 2.1 3.2 b
c a e | 1.2 2.1 3.1 b
c a e | 1.2 2.1 3.2 b
c a e | 1.3 2.1 3.1 b
c a e | 1.3 2.1 3.2 b
c a e | 1.1 2.2 3.1 b
c a e | 1.1 2.2 3.2 b
c a e | 1.2 2.2 3.1 b
c a e | 1.2 2.2 3.2 b
c a e | 1.3 2.2 3.1 b
c a e | 1.3 2.2 3.2 b
c a e | 1.1 2.1 3.1 d
c a e | 1.1 2.1 3.2 d
c a e | 1.2 2.1 3.1 d
c a e | 1.2 2.1 3.2 d
c a e | 1.3 2.1 3.1 d
c a e | 1.3 2.1 3.2 d
c a e | 1.1 2.2 3.1 d
c a e | 1.1 2.2 3.2 d
c a e | 1.2 2.2 3.1 d
c a e | 1.2 2.2 3.2 d
c a e | 1.3 2.2 3.1 d
c a e | 1.3 2.2 3.2 d
c b a | 1.1 2.1 3.1 d
c b a | 1.1 2.1 3.2 d
c b a | 1.2 2.1 3.1 d
c b a | 1.2 2.1 3.2 d
c b a | 1.3 2.1 3.1 d
c b a | 1.3 2.1 3.2 d
c b a | 1.1 2.2 3.1 d
c b a | 1.1 2.2 3.2 d
c b a | 1.2 2.2 3.1 d
c b a | 1.2 2.2 3.2 d
c b a | 1.3 2.2 3.1 d
c b a | 1.3 2.2 3.2 d
c b a | 1.1 2.1 3.1 e
c b a | 1.1 2.1 3.2 e
c b a | 1.2 2.1 3.1 e
c b a | 1.2 2.1 3.2 e
c b a | 1.3 2.1 3.1 e
c b a | 1.3 2.1 3.2 e
c b a | 1.1 2.2 3.1 e
c b a | 1.1 2.2 3.2 e
c b a | 1.2 2.2 3.1 e
c b a | 1.2 2.2 3.2 e
c b a | 1.3 2.2 3.1 e
c b a | 1.3 2.2 3.2 e
c b d | 1.1 2.1 3.1 a
c b d | 1.1 2.1 3.2 a
c b d | 1.2 2.1 3.1 a
c b d | 1.2 2.1 3.2 a
c b d | 1.3 2.1 3.1 a
c b d | 1.3 2.1 3.2 a
c b d | 1.1 2.2 3.1 a
c b d | 1.1 2.2 3.2 a
c b d | 1.2 2.2 3.1 a
c b d | 1.2 2.2 3.2 a
c b d | 1.3 2.2 3.1 a
c b d | 1.3 2.2 3.2 a
c b d | 1.1 2.1 3.1 e
c b d | 1.1 2.1 3.2 e
c b d | 1.2 2.1 3.1 e
c b d | 1.2 2.1 3.2 e
c b d | 1.3 2.1 3.1 e
c b d | 1.3 2.1 3.2 e
c b d | 1.1 2.2 3.1 e
c b d | 1.1 2.2 3.2 e
c b d | 1.2 2.2 3.1 e
c b d | 1.2 2.2 3.2 e
c b d | 1.3 2.2 3.1 e
c b d | 1.3 2.2 3.2 e
c b e | 1.1 2.1 3.1 a
c b e | 1.1 2.1 3.2 a
c b e | 1.2 2.1 3.1 a
c b e | 1.2 2.1 3.2 a
c b e | 1.3 2.1 3.1 a
c b e | 1.3 2.1 3.2 a
c b e | 1.1 2.2 3.1 a
c b e | 1.1 2.2 3.2 a
c b e | 1.2 2.2 3.1 a
c b e | 1.2 2.2 3.2 a
c b e | 1.3 2.2 3.1 a
c b e | 1.3 2.2 3.2 a
c b e | 1.1 2.1 3.1 d
c b e | 1.1 2.1 3.2 d
c b e | 1.2 2.1 3.1 d
c b e | 1.2 2.1 3.2 d
c b e | 1.3 2.1 3.1 d
c b e | 1.3 2.1 3.2 d
c b e | 1.1 2.2 3.1 d
c b e | 1.1 2.2 3.2 d
c b e | 1.2 2.2 3.1 d
c b e | 1.2 2.2 3.2 d
c b e | 1.3 2.2 3.1 d
c b e | 1.3 2.2 3.2 d
c d a | 1.1 2.1 3.1 b
c d a | 1.1 2.1 3.2 b
c d a | 1.2 2.1 3.1 b
c d a | 1.2 2.1 3.2 b
c d a | 1.3 2.1 3.1 b
c d a | 1.3 2.1 3.2 b
c d a | 1.1 2.2 3.1 b
c d a | 1.1 2.2 3.2 b
c d a | 1.2 2.2 3.1 b
c d a | 1.2 2.2 3.2 b
c d a | 1.3 2.2 3.1 b
c d a | 1.3 2.2 3.2 b
c d a | 1.1 2.1 3.1 e
c d a | 1.1 2.1 3.2 e
c d a | 1.2 2.1 3.1 e
